match_type,batsman,matches,innings,runs,balls_faced,fours,sixes,dismissals,strike_rate
t20,A Adekunle,6,2,7,24,0,0,3,29.166666666666668
t20,A Ahmadhel,4,2,8,27,1,0,5,29.629629629629626
t20,A Aikenhead,16,2,218,275,21,0,13,79.27272727272727
t20,A Aitken,1,1,7,18,0,0,0,38.88888888888889
t20,A Aitken-Drummond,16,2,162,207,15,2,14,78.26086956521739
t20,A Akhigbe,5,2,72,95,11,1,4,75.78947368421053
t20,A Akurut,5,1,4,21,0,0,4,19.047619047619047
t20,A Alexander,2,2,5,9,0,0,2,55.55555555555556
t20,A Alfonso,4,2,13,39,1,0,2,33.33333333333333
t20,A Amado,2,2,19,28,2,0,3,67.85714285714286
t20,A Andrews,1,1,4,6,1,0,1,66.66666666666666
t20,A Andriani,5,2,38,35,6,0,3,108.57142857142857
t20,A Argyropoulou,15,2,144,256,12,0,15,56.25
t20,A Ashokan,22,2,572,525,28,22,19,108.95238095238096
t20,A Athanaze,4,2,75,64,4,5,3,117.1875
t20,A Bagai,4,2,165,157,14,0,4,105.09554140127389
t20,A Balbirnie,89,2,2028,1682,211,60,88,120.57074910820451
t20,A Bester,8,2,61,91,6,0,8,67.03296703296702
t20,A Bhadauria,2,2,40,32,6,0,2,125.0
t20,A Bhagwat,3,2,2,9,0,0,3,22.22222222222222
t20,A Bhargava,2,2,7,7,1,0,1,100.0
t20,A Bhattarai,1,1,2,3,0,0,1,66.66666666666666
t20,A Bierwisch,17,2,153,310,4,0,14,49.354838709677416
t20,A Bishnoi,8,2,11,23,0,0,4,47.82608695652174
t20,A Bohara,13,2,23,34,1,1,7,67.64705882352942
t20,A Bosch,40,2,910,845,100,14,35,107.6923076923077
t20,A Bose,5,2,11,40,1,0,4,27.500000000000004
t20,A Brindle,18,2,256,266,12,1,12,96.2406015037594
t20,A Brown-Carrera,9,2,36,71,3,0,6,50.70422535211267
t20,A Bulow,1,1,11,13,0,1,1,84.61538461538461
t20,A Bushell,1,1,5,8,0,0,1,62.5
t20,A Busing-Volschenk,1,1,0,1,0,0,1,0.0
t20,A Canning,10,2,48,56,4,0,8,85.71428571428571
t20,A Capsey,37,2,711,617,95,12,32,115.23500810372771
t20,A Cespedes,2,1,1,16,0,0,2,6.25
t20,A Chandel,21,3,230,432,13,0,16,53.24074074074075
t20,A Charles,1,1,1,5,0,0,1,20.0
t20,A Chaubey,4,2,14,21,0,2,4,66.66666666666666
t20,A Chaudhary,4,2,42,45,5,0,4,93.33333333333333
t20,A Chilia,12,2,116,201,10,0,10,57.711442786069654
t20,A Conteh,6,2,35,58,3,0,6,60.3448275862069
t20,A Cossa,5,2,25,44,1,0,5,56.81818181818182
t20,A Dananjaya,14,2,61,76,6,0,8,80.26315789473685
t20,A Das,6,2,7,14,0,0,3,50.0
t20,A Dastgir,1,1,0,2,0,0,1,0.0
t20,A Davidson Soler,5,2,90,89,9,0,5,101.12359550561798
t20,A Davidson-Soler,8,2,126,155,7,0,6,81.29032258064515
t20,A Daxini,3,1,11,24,1,0,3,45.83333333333333
t20,A Dcosta,10,2,33,52,3,0,8,63.46153846153846
t20,A Dercksen,16,3,190,167,22,6,13,113.77245508982037
t20,A Dhingra,5,2,8,8,1,0,2,100.0
t20,A Dineshi,3,2,2,18,0,0,3,11.11111111111111
t20,A Dirannehelage,7,2,158,255,23,0,4,61.96078431372549
t20,A Dizija,21,2,457,430,44,16,20,106.27906976744185
t20,A Djorovic,4,2,27,48,3,0,2,56.25
t20,A Doddaballapur,25,2,318,486,20,2,17,65.4320987654321
t20,A Donovan,2,1,2,11,0,0,1,18.181818181818183
t20,A Dowling,1,1,2,4,0,0,1,50.0
t20,A Dutt,8,2,35,40,2,1,5,87.5
t20,A Emch,1,1,0,2,0,0,0,0.0
t20,A Faletar,2,1,0,2,0,0,1,0.0
t20,A Ferguson,18,2,402,449,45,2,12,89.53229398663697
t20,A Flintoff,7,2,76,62,7,2,5,122.58064516129032
t20,A Fujikawa,6,2,13,35,0,0,3,37.142857142857146
t20,A Galan,14,2,63,163,3,0,14,38.65030674846626
t20,A Gardner,75,3,1416,1137,155,43,59,124.53825857519789
t20,A Gasteratos,5,2,17,40,0,0,4,42.5
t20,A Gavde,1,1,1,6,0,0,1,16.666666666666664
t20,A Gbla,19,2,204,224,14,8,16,91.07142857142857
t20,A Gisdaki,4,2,18,82,0,0,2,21.951219512195124
t20,A Gorawara,4,2,38,37,2,2,4,102.7027027027027
t20,A Govorko,1,1,1,1,0,0,0,100.0
t20,A Gunasekar,3,2,8,40,1,0,2,20.0
t20,A Gurung,17,2,52,95,3,0,13,54.736842105263165
t20,A Halbhavi,12,2,174,181,24,3,12,96.13259668508287
t20,A Harris,8,2,21,29,0,2,5,72.41379310344827
t20,A Hartley,9,2,193,215,17,0,5,89.76744186046511
t20,A Hewage,1,1,1,7,0,0,1,14.285714285714285
t20,A Hlubi,1,1,7,6,0,1,1,116.66666666666667
t20,A Hunter,41,2,995,935,101,12,34,106.41711229946524
t20,A Husain,2,2,11,16,2,0,1,68.75
t20,A Igbobie,10,2,47,121,2,0,7,38.84297520661157
t20,A Ikuzwe,25,2,217,342,13,0,20,63.450292397660824
t20,A Ilahi,4,2,6,27,0,0,4,22.22222222222222
t20,A Ilaoa,4,1,15,14,1,0,3,107.14285714285714
t20,A Iopu,4,2,34,85,2,0,4,40.0
t20,A Johnmary,1,1,8,14,0,0,1,57.14285714285714
t20,A Johnson,27,2,867,601,83,56,26,144.25956738768718
t20,A Joshi,2,2,11,40,0,0,2,27.500000000000004
t20,A Kadowaki Fleming,3,1,127,80,10,2,2,158.75
t20,A Kainessie,11,2,153,171,16,2,11,89.47368421052632
t20,A Kalasi,4,2,14,15,0,1,1,93.33333333333333
t20,A Kanada,4,2,34,52,2,0,3,65.38461538461539
t20,A Kano,23,3,210,317,11,0,21,66.24605678233438
t20,A Kansonkho,2,1,2,5,0,0,2,40.0
t20,A Kapoor,1,1,9,4,1,0,0,225.0
t20,A Karmacharya,10,2,17,47,0,0,8,36.17021276595745
t20,A Karn,1,1,4,7,0,0,1,57.14285714285714
t20,A Katoa,3,1,31,71,1,0,3,43.66197183098591
t20,A Kaul,8,2,51,64,7,0,7,79.6875
t20,A Khaka,14,2,34,60,2,0,4,56.666666666666664
t20,A Khan,7,2,49,57,2,1,7,85.96491228070175
t20,A Kheterpal,16,2,288,261,33,7,11,110.34482758620689
t20,A King,5,2,28,32,4,0,2,87.5
t20,A Kirschbaum,20,2,210,244,16,3,17,86.0655737704918
t20,A Kitayama,6,2,24,44,1,0,6,54.54545454545454
t20,A Kohli,9,2,92,122,8,0,7,75.40983606557377
t20,A Kolan,18,2,267,344,14,0,16,77.61627906976744
t20,A Kone,1,1,0,3,0,0,1,0.0
t20,A Konhu,3,2,19,26,1,0,3,73.07692307692307
t20,A Kontopirakis,2,2,32,30,2,1,1,106.66666666666667
t20,A Kourkoulou,3,2,5,30,0,0,3,16.666666666666664
t20,A Krishna,8,2,34,33,4,0,3,103.03030303030303
t20,A Kshirsagar,3,2,7,10,1,0,2,70.0
t20,A Kuthalingham,2,1,37,40,1,0,2,92.5
t20,A Langham,3,2,43,43,3,1,4,100.0
t20,A Letuba,2,2,2,8,0,0,2,25.0
t20,A Levaci,1,1,0,1,0,0,1,0.0
t20,A Limdawala,8,2,103,129,8,0,7,79.84496124031007
t20,A Lister,31,2,476,396,55,9,27,120.2020202020202
t20,A Littlejohns,3,2,13,17,2,0,3,76.47058823529412
t20,A Magdalenic,8,2,16,55,1,0,9,29.09090909090909
t20,A Maheshwari,9,2,40,69,3,2,9,57.971014492753625
t20,A Makri,16,2,148,282,13,0,14,52.4822695035461
t20,A Manepalli,3,2,33,36,2,1,2,91.66666666666666
t20,A Manousis,6,2,39,35,5,2,5,111.42857142857143
t20,A Mansale,26,2,572,500,37,20,23,114.39999999999999
t20,A Mare,23,2,192,297,14,1,15,64.64646464646465
t20,A Martel,7,2,74,64,9,3,5,115.625
t20,A Mazvishaya,5,2,18,28,0,0,1,64.28571428571429
t20,A McAuley,18,2,304,351,26,2,18,86.6096866096866
t20,A McKnight,2,2,67,76,6,2,2,88.1578947368421
t20,A Mehmood,1,1,14,4,1,1,0,350.0
t20,A Mene-Ejegi,10,2,107,73,10,6,9,146.57534246575344
t20,A Merritt,18,2,390,355,42,4,14,109.85915492957747
t20,A Mesarovic,4,2,117,123,16,1,3,95.1219512195122
t20,A Meyenborg,3,1,9,28,0,0,1,32.142857142857146
t20,A Modi,5,2,48,77,1,0,4,62.33766233766234
t20,A Mohamed,11,2,90,118,8,0,9,76.27118644067797
t20,A Mohammed,19,2,64,101,3,0,8,63.366336633663366
t20,A Mokgotlhe,29,2,268,323,27,6,23,82.97213622291022
t20,A Mongar,1,1,4,8,0,0,1,50.0
t20,A Morris,10,2,14,32,0,0,4,43.75
t20,A Mossop,3,2,9,25,0,0,1,36.0
t20,A Motorwala,3,2,2,10,0,0,3,20.0
t20,A Mundra,4,1,153,98,15,10,4,156.12244897959184
t20,A Munisar,2,1,3,3,0,0,0,100.0
t20,A Mustafa,5,2,30,27,1,0,2,111.11111111111111
t20,A Mutreja,8,2,141,110,9,8,7,128.1818181818182
t20,A Nagarajan,5,2,69,80,8,1,5,86.25
t20,A Nanda,11,2,50,60,2,2,5,83.33333333333334
t20,A Nao,6,2,56,45,3,3,3,124.44444444444444
t20,A Nathwani,7,2,25,40,1,0,2,62.5
t20,A Natubhai Ahir,20,2,257,283,17,12,20,90.81272084805654
t20,A Ndiraya,15,2,136,174,12,0,12,78.16091954022988
t20,A Ndlovu,3,2,10,13,1,0,2,76.92307692307693
t20,A Nehra,5,2,28,42,1,2,5,66.66666666666666
t20,A Nel,1,1,0,2,0,0,0,0.0
t20,A Nimaga,3,2,11,13,1,0,2,84.61538461538461
t20,A Nookala,5,2,5,50,0,0,3,10.0
t20,A Nortje,12,2,17,35,1,0,6,48.57142857142857
t20,A Nyirenda,1,1,1,5,0,0,1,20.0
t20,A Obulor,10,2,45,85,4,0,8,52.94117647058824
t20,A Orfila,2,2,2,10,0,0,2,20.0
t20,A Osei,9,2,66,125,4,1,10,52.800000000000004
t20,A Ostergaard,3,2,28,57,3,0,2,49.122807017543856
t20,A Otwani,12,2,150,157,19,2,13,95.54140127388536
t20,A Oxley,5,2,116,161,6,0,5,72.04968944099379
t20,A Parima,15,2,250,232,25,11,14,107.75862068965519
t20,A Patmore,20,2,273,308,26,0,18,88.63636363636364
t20,A Paul,3,2,22,29,1,0,2,75.86206896551724
t20,A Perera,15,2,143,210,8,0,13,68.0952380952381
t20,A Poulose,3,2,9,16,2,0,3,56.25
t20,A Prashar,4,2,55,39,3,3,3,141.02564102564102
t20,A Prince,7,2,13,44,0,0,7,29.545454545454547
t20,A Pusthay,7,2,93,119,8,0,6,78.15126050420169
t20,A Rajshekara,7,2,106,118,9,4,5,89.83050847457628
t20,A Rameshan,6,2,111,166,13,0,4,66.86746987951807
t20,A Randhawa,15,2,150,236,7,2,13,63.559322033898304
t20,A Rangaswamy,5,2,13,16,0,1,5,81.25
t20,A Rautela,3,2,12,28,1,0,1,42.857142857142854
t20,A Raza,15,3,244,168,26,15,17,145.23809523809524
t20,A Reddy,14,2,72,90,8,0,12,80.0
t20,A Reyes,15,2,145,197,15,0,14,73.60406091370558
t20,A Salomao,15,2,55,114,3,0,10,48.24561403508772
t20,A Samildeen,3,2,6,40,1,0,3,15.0
t20,A Sangare,1,1,0,6,0,0,1,0.0
t20,A Sarma,2,2,37,47,3,1,2,78.72340425531915
t20,A Sathyan,2,1,10,15,1,0,0,66.66666666666666
t20,A Saud,3,2,70,64,7,4,3,109.375
t20,A Savvani,9,2,49,123,1,0,5,39.83739837398374
t20,A Scantlebury,2,2,16,35,1,0,2,45.714285714285715
t20,A Shahi,8,2,87,50,6,7,7,174.0
t20,A Shahzad,1,1,0,3,0,0,0,0.0
t20,A Sharafu,40,2,1053,812,107,41,33,129.67980295566502
t20,A Sharma,19,2,279,295,32,5,18,94.57627118644068
t20,A Shreshta,20,2,361,376,34,5,17,96.01063829787235
t20,A Shrubsole,16,2,103,97,8,2,8,106.18556701030928
t20,A Shukla,18,2,44,87,2,1,11,50.57471264367817
t20,A Simelane,5,2,21,26,1,1,4,80.76923076923077
t20,A Sokovagone,6,2,174,131,10,12,7,132.82442748091603
t20,A Sootaga,3,2,9,18,0,0,1,50.0
t20,A Stocks,14,2,153,284,5,1,14,53.87323943661971
t20,A Stoilova,2,1,2,20,0,0,2,10.0
t20,A Sutherland,21,2,191,139,23,3,16,137.41007194244602
t20,A Suwanchonrathi,19,2,224,311,24,0,18,72.02572347266882
t20,A Symonds,11,2,337,204,33,10,7,165.19607843137254
t20,A Tagilala,3,2,28,47,2,0,2,59.57446808510638
t20,A Taylor,7,2,36,128,0,0,3,28.125
t20,A Thorpe,3,2,16,24,1,0,3,66.66666666666666
t20,A Tomar,2,2,5,12,0,0,2,41.66666666666667
t20,A Tripathi,3,2,8,27,1,0,3,29.629629629629626
t20,A Turay,16,2,263,267,29,5,16,98.50187265917603
t20,A Turkmen,11,2,124,129,15,1,8,96.12403100775194
t20,A Uwimbabazi,6,1,36,60,0,0,4,60.0
t20,A Vaidya,8,2,118,148,12,0,8,79.72972972972973
t20,A Vailoa,1,1,0,1,0,0,0,0.0
t20,A Vala,50,2,1171,1021,106,36,45,114.69147894221352
t20,A Valthapa,1,1,5,12,1,0,1,41.66666666666667
t20,A Venkatesh,15,2,260,255,24,2,11,101.96078431372548
t20,A Vessik,6,2,25,66,1,0,5,37.878787878787875
t20,A Wanjira,12,2,70,103,8,0,9,67.96116504854369
t20,A Wellington,2,1,9,10,1,0,1,90.0
t20,A Wright,5,2,6,20,0,0,2,30.0
t20,A Yon,8,2,161,137,15,6,7,117.51824817518248
t20,A Zampa,18,2,58,69,6,0,10,84.05797101449275
t20,A Zimunu,2,1,9,8,0,0,0,112.5
t20,A le Breton,2,2,24,24,3,0,2,100.0
t20,A van Schoor,1,1,39,32,1,2,0,121.875
t20,A van der Merwe,24,2,373,485,38,3,22,76.90721649484537
t20,AA Alleyne,40,2,343,384,37,1,30,89.32291666666666
t20,AA Banner,4,2,15,27,3,0,4,55.55555555555556
t20,AA Deshpande,1,1,5,16,0,0,1,31.25
t20,AA Gajic,6,2,18,37,1,0,2,48.64864864864865
t20,AA Hussein,1,1,1,1,0,0,0,100.0
t20,AA Jasani,6,1,185,158,15,6,5,117.08860759493672
t20,AA Moiane,8,2,35,76,3,0,6,46.05263157894737
t20,AA Navicha,10,2,122,162,5,3,7,75.30864197530865
t20,AA Obanda,37,2,678,590,83,23,36,114.91525423728814
t20,AA Onikoyi,26,2,372,435,26,12,24,85.51724137931035
t20,AA Paradkar,2,2,16,13,2,0,1,123.07692307692308
t20,AA Patil,24,2,255,243,26,1,15,104.93827160493827
t20,AA Rahayu,5,2,35,43,2,1,3,81.3953488372093
t20,AAA Patel,4,2,32,35,4,1,4,91.42857142857143
t20,AAH Bhikari,2,2,2,11,0,0,2,18.181818181818183
t20,AAIP Bastari,1,1,26,28,3,0,0,92.85714285714286
t20,AAM Eliane,1,1,3,27,0,0,1,11.11111111111111
t20,AAP Atkinson,2,2,10,23,0,0,1,43.47826086956522
t20,AAP Rivero,13,2,94,128,5,1,11,73.4375
t20,AAhan Achar,5,2,12,15,1,0,1,80.0
t20,AB Agarkar,2,2,15,11,2,0,1,136.36363636363635
t20,AB Barath,2,2,23,42,3,0,2,54.761904761904766
t20,AB Dinda,2,2,22,24,1,0,1,91.66666666666666
t20,AB Kamara,6,2,37,53,1,0,4,69.81132075471697
t20,AB Kaur,7,2,92,76,15,0,3,121.05263157894737
t20,AB Martinez,3,1,8,73,1,0,2,10.95890410958904
t20,AB Mengoumou,4,2,8,34,0,0,4,23.52941176470588
t20,AB Slebsager,2,1,1,3,0,0,1,33.33333333333333
t20,AB de Villiers,72,2,1591,1226,135,54,63,129.77161500815663
t20,ABY Smith,5,2,147,174,7,0,6,84.48275862068965
t20,AC Agar,28,2,277,285,19,9,21,97.19298245614036
t20,AC Botha,6,2,75,82,10,0,5,91.46341463414635
t20,AC Brodin,5,2,16,56,1,0,5,28.57142857142857
t20,AC Douglas,19,2,355,270,32,21,18,131.4814814814815
t20,AC Evans,7,2,10,15,1,0,6,66.66666666666666
t20,AC Gilchrist,13,2,272,203,27,13,12,133.99014778325122
t20,AC Jayangani,111,2,2984,2710,397,83,103,110.11070110701107
t20,AC Kerr,67,2,1453,1344,148,1,54,108.11011904761905
t20,AC Mushangwe,4,1,20,30,0,0,0,66.66666666666666
t20,AC Sabino,5,2,21,59,0,0,5,35.59322033898305
t20,AC Septien,3,1,18,60,1,0,2,30.0
t20,AC Voges,5,2,139,116,8,2,3,119.82758620689656
t20,ACF Stokes,6,2,23,38,0,1,6,60.526315789473685
t20,ACL Richards,1,1,10,17,1,0,1,58.82352941176471
t20,AD Algar,2,2,40,56,2,1,1,71.42857142857143
t20,AD Diwan Ali,2,2,2,11,0,0,0,18.181818181818183
t20,AD Dore,11,2,161,162,19,2,9,99.38271604938271
t20,AD Fofana,3,2,3,19,0,0,2,15.789473684210526
t20,AD Hales,72,2,2024,1482,220,69,65,136.57219973009447
t20,AD Mascarenhas,12,2,123,107,8,5,7,114.95327102803739
t20,AD Mathews,69,2,1343,1163,87,45,52,115.47721410146174
t20,AD Poynter,9,2,171,137,17,7,8,124.81751824817518
t20,AD Russell,68,2,1053,666,63,89,44,158.10810810810813
t20,ADL Stokoe,1,1,4,9,0,0,1,44.44444444444444
t20,ADS Fletcher,56,2,973,913,65,53,49,106.57174151150055
t20,AE Isesele,10,2,86,85,7,4,8,101.17647058823529
t20,AE Jones,92,2,1610,1334,187,22,74,120.6896551724138
t20,AE Moe,2,2,1,7,0,0,2,14.285714285714285
t20,AE Paraam,10,2,302,210,29,13,6,143.8095238095238
t20,AE Satterthwaite,49,2,987,967,111,6,41,102.06825232678386
t20,AE Smith,1,1,44,47,3,1,1,93.61702127659575
t20,AEMP Durayalage,3,2,13,38,1,0,3,34.21052631578947
t20,AF Aoina,5,2,52,73,4,1,4,71.23287671232876
t20,AF Buurman,1,1,0,2,0,0,1,0.0
t20,AF Ifill,15,2,94,152,5,1,13,61.8421052631579
t20,AF Mapu,2,1,8,10,1,0,2,80.0
t20,AF Milne,19,2,83,89,1,6,10,93.25842696629213
t20,AG Cremer,14,2,62,90,2,0,11,68.88888888888889
t20,AG Prince,1,1,5,6,0,0,0,83.33333333333334
t20,AG Rao,1,1,1,4,0,0,1,25.0
t20,AG Weligamage,10,2,101,97,4,8,6,104.1237113402062
t20,AGS Gous,24,3,752,538,65,41,23,139.77695167286245
t20,AH Maqsood,15,2,38,73,0,0,8,52.054794520547944
t20,AH Thomson,9,2,32,65,1,0,6,49.23076923076923
t20,AI Chudasama,7,2,65,84,5,0,5,77.38095238095238
t20,AISD Kainoco,4,1,8,15,1,0,3,53.333333333333336
t20,AIV Benatar,9,2,147,254,8,0,6,57.874015748031496
t20,AJ Ayannaike,17,2,115,153,9,3,17,75.16339869281046
t20,AJ Blackwell,36,2,529,600,35,0,24,88.16666666666667
t20,AJ Finch,103,2,3120,2265,309,125,90,137.74834437086093
t20,AJ Hall,1,1,11,10,1,0,1,110.00000000000001
t20,AJ Healy,117,3,2727,2169,373,52,101,125.72614107883817
t20,AJ Hosein,28,2,244,231,14,12,15,105.62770562770562
t20,AJ Jabiri,15,2,122,220,11,1,15,55.45454545454545
t20,AJ Kenealy,6,2,18,23,2,0,5,78.26086956521739
t20,AJ McKay,1,1,0,1,0,0,1,0.0
t20,AJ Michael,5,2,66,81,5,1,3,81.48148148148148
