match_type,bowler,matches,balls_bowled,runs_conceded,wickets,maidens,overs,economy
odi,A Ashok,2,61,65,1,0,10.166666666666666,6.39344262295082
odi,A Athanaze,2,26,19,1,0,4.333333333333333,4.384615384615385
odi,A Balbirnie,1,24,31,1,0,4.0,7.75
odi,A Beggs,3,136,131,5,0,22.666666666666668,5.779411764705882
odi,A Bohara,2,66,51,1,0,11.0,4.636363636363637
odi,A Bosch,7,159,134,1,0,26.5,5.056603773584905
odi,A Brindle,17,621,449,20,0,103.5,4.338164251207729
odi,A Canning,19,815,563,15,0,135.83333333333334,4.14478527607362
odi,A Capsey,12,314,245,9,0,52.333333333333336,4.681528662420382
odi,A Codrington,5,187,169,6,0,31.166666666666668,5.422459893048128
odi,A Dalzell,8,286,262,4,0,47.666666666666664,5.496503496503497
odi,A Dananjaya,38,2024,1740,56,0,337.3333333333333,5.158102766798419
odi,A Das,3,166,119,7,0,27.666666666666668,4.301204819277109
odi,A Dercksen,8,227,231,9,0,37.833333333333336,6.105726872246696
odi,A Dutt,47,2284,1850,59,0,380.6666666666667,4.859894921190893
odi,A Flintoff,74,3784,2682,132,0,630.6666666666666,4.252642706131079
odi,A Gardner,70,3018,2068,103,0,503.0,4.111332007952286
odi,A Hartley,21,1024,727,27,0,170.66666666666666,4.259765625
odi,A Hlubi,4,111,123,2,0,18.5,6.648648648648648
odi,A Johnson,1,24,14,0,0,4.0,3.5
odi,A Khaka,92,4503,3179,132,0,750.5,4.235842771485676
odi,A King,35,1480,1055,62,0,246.66666666666666,4.277027027027027
odi,A Kumble,27,1464,1145,31,0,244.0,4.692622950819672
odi,A Martin,9,447,300,13,0,74.5,4.026845637583893
odi,A Mazvishaya,11,491,350,12,0,81.83333333333333,4.276985743380855
odi,A McGrath,6,216,163,3,0,36.0,4.527777777777778
odi,A Mishra,31,1805,1442,65,0,300.8333333333333,4.793351800554017
odi,A Mithun,5,188,210,3,0,31.333333333333332,6.702127659574469
odi,A Mohammed,43,2015,1533,58,0,335.8333333333333,4.564764267990075
odi,A Munisar,4,143,88,3,0,23.833333333333332,3.6923076923076925
odi,A Nao,19,871,724,20,0,145.16666666666666,4.987370838117107
odi,A Ndiraya,3,26,16,1,0,4.333333333333333,3.6923076923076925
odi,A Ndlovu,2,103,82,1,0,17.166666666666668,4.776699029126213
odi,A Nehra,79,3745,3363,115,0,624.1666666666666,5.387983978638185
odi,A Neill,9,448,345,15,0,74.66666666666667,4.620535714285714
odi,A Nel,57,2941,2254,94,0,490.1666666666667,4.598435906154369
odi,A Nortje,21,1023,1004,38,0,170.5,5.8885630498533725
odi,A Patel,2,66,73,3,0,11.0,6.636363636363637
odi,A Phillip,5,201,210,4,0,33.5,6.268656716417911
odi,A Reddy,8,429,340,13,0,71.5,4.755244755244755
odi,A Shahzad,10,559,469,15,0,93.16666666666667,5.0339892665474055
odi,A Shamshudeen,1,18,24,0,0,3.0,8.0
odi,A Sharafu,1,12,12,0,0,2.0,6.0
odi,A Sharma,8,273,183,4,0,45.5,4.021978021978022
odi,A Shrubsole,66,3230,2234,93,0,538.3333333333334,4.1498452012383895
odi,A Sutherland,36,1248,954,41,0,208.0,4.586538461538462
odi,A Symonds,92,3476,2945,83,0,579.3333333333334,5.083429228998849
odi,A Tector,5,157,170,2,0,26.166666666666668,6.496815286624203
odi,A Vala,51,2017,1320,47,0,336.1666666666667,3.9266236985622207
odi,A Wellington,11,546,431,17,0,91.0,4.736263736263736
odi,A Zampa,108,5678,5236,184,0,946.3333333333334,5.532934131736527
odi,A Zimunu,4,136,100,6,0,22.666666666666668,4.411764705882352
odi,A van der Merwe,3,126,79,2,0,21.0,3.761904761904762
odi,AA Alleyne,37,1247,1044,43,0,207.83333333333334,5.023255813953488
odi,AA Donald,3,155,134,1,0,25.833333333333332,5.187096774193549
odi,AA Noffke,1,54,47,2,0,9.0,5.222222222222222
odi,AA Paradkar,6,224,245,9,0,37.333333333333336,6.5625
odi,AAP Atkinson,11,494,535,13,0,82.33333333333333,6.497975708502024
odi,AB Agarkar,64,3361,2735,106,0,560.1666666666666,4.882475453734008
odi,AB Dinda,13,613,618,14,0,102.16666666666667,6.048939641109298
odi,AB Kaur,8,337,310,12,0,56.166666666666664,5.519287833827893
