match_type,bowler,matches,balls_bowled,runs_conceded,wickets,maidens,overs,economy
t20,A Adekunle,12,253,179,12,0,42.166666666666664,4.24505928853755
t20,A Ahmadhel,2,12,21,1,0,2.0,10.5
t20,A Aitken,3,44,40,0,0,7.333333333333333,5.454545454545455
t20,A Aitken-Drummond,6,84,65,5,0,14.0,4.642857142857143
t20,A Akhigbe,5,94,65,1,0,15.666666666666666,4.1489361702127665
t20,A Akurut,3,44,17,3,0,7.333333333333333,2.3181818181818183
t20,A Alexander,2,31,24,3,0,5.166666666666667,4.64516129032258
t20,A Amado,2,18,20,1,0,3.0,6.666666666666667
t20,A Andrews,3,62,64,5,0,10.333333333333334,6.193548387096774
t20,A Andriani,7,162,93,15,0,27.0,3.4444444444444446
t20,A Ashok,1,25,28,2,0,4.166666666666667,6.72
t20,A Ashokan,18,363,441,18,0,60.5,7.289256198347108
t20,A Bester,9,181,168,18,0,30.166666666666668,5.569060773480663
t20,A Bhargava,1,13,15,1,0,2.1666666666666665,6.923076923076923
t20,A Bhattarai,1,19,13,2,0,3.1666666666666665,4.105263157894737
t20,A Bidari,1,26,17,1,0,4.333333333333333,3.9230769230769234
t20,A Bierwisch,6,104,68,8,0,17.333333333333332,3.9230769230769234
t20,A Bishnoi,12,235,318,12,0,39.166666666666664,8.119148936170212
t20,A Bohara,57,1199,1484,77,0,199.83333333333334,7.4261884904086735
t20,A Bosch,12,152,184,8,0,25.333333333333332,7.2631578947368425
t20,A Brindle,17,307,257,18,0,51.166666666666664,5.0228013029315965
t20,A Brown-Carrera,10,227,158,12,0,37.833333333333336,4.176211453744493
t20,A Canning,33,603,520,17,0,100.5,5.174129353233831
t20,A Capsey,12,140,147,6,0,23.333333333333332,6.300000000000001
t20,A Chandel,23,502,400,26,0,83.66666666666667,4.780876494023904
t20,A Charles,1,16,13,1,0,2.6666666666666665,4.875
t20,A Chaubey,4,89,133,3,0,14.833333333333334,8.96629213483146
t20,A Chaudhary,5,81,105,3,0,13.5,7.777777777777778
t20,A Chenthamara,4,64,80,6,0,10.666666666666666,7.5
t20,A Chilia,3,65,53,1,0,10.833333333333334,4.892307692307692
t20,A Conteh,5,116,114,8,0,19.333333333333332,5.8965517241379315
t20,A Cossa,6,69,83,3,0,11.5,7.217391304347826
t20,A Dalzell,10,192,176,8,0,32.0,5.5
t20,A Dananjaya,32,695,937,30,0,115.83333333333333,8.089208633093525
t20,A Das,9,166,156,9,0,27.666666666666668,5.63855421686747
t20,A Davidson-Soler,9,194,152,5,0,32.333333333333336,4.701030927835051
t20,A Daxini,2,11,24,0,0,1.8333333333333333,13.090909090909092
t20,A Dcosta,13,280,267,16,0,46.666666666666664,5.7214285714285715
t20,A Denuwan,3,40,51,1,0,6.666666666666667,7.6499999999999995
t20,A Dercksen,13,153,171,7,0,25.5,6.705882352941177
t20,A Desai,4,73,85,6,0,12.166666666666666,6.986301369863014
t20,A Dhingra,14,255,343,17,0,42.5,8.070588235294117
t20,A Dineshi,1,15,20,0,0,2.5,8.0
t20,A Dirannehelage,8,206,99,11,0,34.333333333333336,2.8834951456310676
t20,A Dizija,4,67,129,3,0,11.166666666666666,11.55223880597015
t20,A Djorovic,6,81,149,1,0,13.5,11.037037037037036
t20,A Doddaballapur,25,468,313,40,0,78.0,4.012820512820513
t20,A Donovan,3,25,31,0,0,4.166666666666667,7.4399999999999995
t20,A Dutt,16,306,378,16,0,51.0,7.411764705882353
t20,A Emch,1,9,13,0,0,1.5,8.666666666666666
t20,A Fillie,9,206,131,15,0,34.333333333333336,3.815533980582524
t20,A Flintoff,7,155,164,5,0,25.833333333333332,6.348387096774194
t20,A Fujikawa,9,181,160,10,0,30.166666666666668,5.303867403314917
t20,A Galan,14,290,212,19,0,48.333333333333336,4.386206896551724
t20,A Gardner,84,1496,1638,90,0,249.33333333333334,6.56951871657754
t20,A Gbla,13,189,206,19,0,31.5,6.5396825396825395
t20,A Gisdaki,1,6,14,0,0,1.0,14.0
t20,A Gunasekar,2,47,57,1,0,7.833333333333333,7.276595744680852
t20,A Gurung,28,611,373,33,0,101.83333333333333,3.662847790507365
t20,A Hartley,6,104,105,4,0,17.333333333333332,6.057692307692308
t20,A Hewage,1,6,0,1,0,1.0,0.0
t20,A Hlubi,5,92,125,5,0,15.333333333333334,8.152173913043478
t20,A Hogg,1,12,13,0,0,2.0,6.5
t20,A Husain,8,148,145,8,0,24.666666666666668,5.878378378378378
t20,A Ikuzwe,28,559,420,40,0,93.16666666666667,4.508050089445438
t20,A Ilahi,4,112,91,5,0,18.666666666666668,4.875
t20,A Iopu,3,20,22,2,0,3.3333333333333335,6.6
t20,A Johnson,2,18,24,1,0,3.0,8.0
t20,A Joshi,2,43,65,0,0,7.166666666666667,9.069767441860465
t20,A Kalasi,11,227,182,12,0,37.833333333333336,4.81057268722467
t20,A Kanada,2,22,28,3,0,3.6666666666666665,7.636363636363637
t20,A Kanukuntla,4,90,63,4,0,15.0,4.2
t20,A Karmacharya,20,308,226,22,0,51.333333333333336,4.402597402597403
t20,A Karn,1,24,31,1,0,4.0,7.75
t20,A Kaul,3,35,31,4,0,5.833333333333333,5.314285714285715
t20,A Khaka,59,1269,1410,51,0,211.5,6.666666666666667
t20,A Khan,9,144,150,7,0,24.0,6.25
t20,A Kheterpal,16,358,424,12,0,59.666666666666664,7.106145251396648
t20,A King,27,481,519,29,0,80.16666666666667,6.474012474012474
t20,A Kirschbaum,21,438,452,22,0,73.0,6.191780821917808
t20,A Kohli,22,519,412,29,0,86.5,4.763005780346821
t20,A Konhu,2,41,40,1,0,6.833333333333333,5.853658536585366
t20,A Krishna,14,263,384,18,0,43.833333333333336,8.760456273764259
t20,A Kshirsagar,4,85,96,3,0,14.166666666666666,6.776470588235294
t20,A Kuthalingham,2,31,24,1,0,5.166666666666667,4.64516129032258
t20,A Le Ray,1,28,20,1,0,4.666666666666667,4.285714285714286
t20,A Levaci,2,30,22,2,0,5.0,4.4
t20,A Limdawala,9,122,119,6,0,20.333333333333332,5.852459016393443
t20,A Magdalenic,2,22,43,0,0,3.6666666666666665,11.727272727272728
t20,A Maheshwari,7,119,193,5,0,19.833333333333332,9.73109243697479
t20,A Makri,15,309,329,13,0,51.5,6.388349514563107
t20,A Manousis,3,44,51,2,0,7.333333333333333,6.954545454545455
t20,A Mansale,7,92,114,6,0,15.333333333333334,7.434782608695652
t20,A Mare,19,347,300,15,0,57.833333333333336,5.187319884726224
t20,A Martel,12,211,232,13,0,35.166666666666664,6.597156398104266
t20,A Martin,1,18,20,1,0,3.0,6.666666666666667
t20,A Mazvishaya,20,418,407,24,0,69.66666666666667,5.842105263157895
t20,A Mehmood,4,62,104,1,0,10.333333333333334,10.064516129032258
t20,A Mene-Ejegi,11,254,275,12,0,42.333333333333336,6.496062992125984
t20,A Merritt,18,389,382,20,0,64.83333333333333,5.892030848329049
t20,A Mesarovic,4,95,71,2,0,15.833333333333334,4.484210526315789
t20,A Meyenborg,6,108,86,5,0,18.0,4.777777777777778
t20,A Mishra,10,234,247,17,0,39.0,6.333333333333333
t20,A Mohamed,11,183,158,8,0,30.5,5.180327868852459
t20,A Mohammed,56,1170,1142,57,0,195.0,5.856410256410256
t20,A Mokgotlhe,38,683,578,24,0,113.83333333333333,5.077598828696925
t20,A Mongar,2,19,11,2,0,3.1666666666666665,3.473684210526316
t20,A Morris,17,383,328,25,0,63.833333333333336,5.138381201044386
t20,A Munisar,10,180,170,5,0,30.0,5.666666666666667
t20,A Nagarajan,7,95,136,3,0,15.833333333333334,8.589473684210526
t20,A Nanda,22,456,560,18,0,76.0,7.368421052631579
t20,A Nao,15,317,308,20,0,52.833333333333336,5.829652996845426
t20,A Nathwani,15,304,367,15,0,50.666666666666664,7.24342105263158
t20,A Natubhai Ahir,18,348,305,17,0,58.0,5.258620689655173
t20,A Ndiraya,4,44,26,6,0,7.333333333333333,3.5454545454545454
t20,A Ndlovu,7,127,177,2,0,21.166666666666668,8.362204724409448
t20,A Nehra,26,585,760,35,0,97.5,7.794871794871795
t20,A Neill,4,102,125,8,0,17.0,7.352941176470588
t20,A Nel,2,48,43,2,0,8.0,5.375
t20,A Nortje,40,880,1061,59,0,146.66666666666666,7.234090909090909
t20,A Obulor,6,109,111,6,0,18.166666666666668,6.110091743119265
t20,A Orfila,4,78,102,2,0,13.0,7.846153846153846
t20,A Ostergaard,1,14,4,0,0,2.3333333333333335,1.7142857142857142
t20,A Parima,3,66,85,5,0,11.0,7.7272727272727275
t20,A Paul,10,189,251,13,0,31.5,7.968253968253968
t20,A Perera,6,93,77,6,0,15.5,4.967741935483871
t20,A Prashar,4,94,90,5,0,15.666666666666666,5.74468085106383
t20,A Prince,4,61,44,2,0,10.166666666666666,4.327868852459017
t20,A Pusthay,3,37,39,4,0,6.166666666666667,6.324324324324324
t20,A Rameshan,6,150,157,11,0,25.0,6.28
t20,A Rangaswamy,8,154,156,12,0,25.666666666666668,6.077922077922078
t20,A Reddy,31,639,793,29,0,106.5,7.446009389671362
t20,A Reyes,14,192,223,17,0,32.0,6.96875
t20,A Salomao,17,394,306,17,0,65.66666666666667,4.65989847715736
t20,A Sathyan,1,16,16,1,0,2.6666666666666665,6.0
t20,A Savvani,12,234,212,15,0,39.0,5.435897435897436
t20,A Sawyer,2,14,22,0,0,2.3333333333333335,9.428571428571429
t20,A Shahi,9,170,217,11,0,28.333333333333332,7.658823529411765
t20,A Shahzad,3,67,101,3,0,11.166666666666666,9.044776119402986
t20,A Sharafu,1,1,3,0,0,0.16666666666666666,18.0
t20,A Sharma,5,85,99,5,0,14.166666666666666,6.988235294117647
t20,A Shrubsole,66,1404,1384,92,0,234.0,5.914529914529915
t20,A Shukla,44,895,1129,42,0,149.16666666666666,7.5687150837988835
t20,A Simelane,5,95,172,4,0,15.833333333333334,10.863157894736842
t20,A Sokovagone,2,25,40,0,0,4.166666666666667,9.6
t20,A Stocks,14,297,230,20,0,49.5,4.646464646464646
t20,A Stoilova,1,4,4,0,0,0.6666666666666666,6.0
t20,A Sutherland,42,748,802,45,0,124.66666666666667,6.433155080213903
t20,A Suwanchonrathi,5,88,71,5,0,14.666666666666666,4.840909090909091
t20,A Symonds,12,190,281,10,0,31.666666666666668,8.873684210526315
t20,A Tagilala,1,21,21,0,0,3.5,6.0
t20,A Taylor,7,147,113,5,0,24.5,4.612244897959184
t20,A Thorpe,11,224,180,10,0,37.333333333333336,4.821428571428571
t20,A Tripathi,2,13,26,2,0,2.1666666666666665,12.0
t20,A Trivedi,1,6,15,0,0,1.0,15.0
t20,A Turay,5,88,93,12,0,14.666666666666666,6.340909090909091
t20,A Turkmen,11,263,266,13,0,43.833333333333336,6.068441064638783
t20,A Vaidya,11,191,146,11,0,31.833333333333332,4.5863874345549736
t20,A Vailoa,2,36,14,5,0,6.0,2.3333333333333335
t20,A Vala,36,521,551,36,0,86.83333333333333,6.34548944337812
t20,A Venkatesh,11,199,217,20,0,33.166666666666664,6.542713567839196
t20,A Vessik,7,174,92,14,0,29.0,3.1724137931034484
t20,A Wanjira,16,336,286,14,0,56.0,5.107142857142857
t20,A Wellington,8,122,115,10,0,20.333333333333332,5.6557377049180335
t20,A Wright,12,280,251,14,0,46.666666666666664,5.378571428571429
t20,A Yon,6,109,121,11,0,18.166666666666668,6.660550458715596
t20,A Zampa,92,2036,2453,115,0,339.3333333333333,7.228880157170924
t20,A Zimunu,3,59,49,2,0,9.833333333333334,4.983050847457627
t20,AA Alleyne,42,670,835,20,0,111.66666666666667,7.477611940298507
t20,AA Banner,1,12,17,0,0,2.0,8.5
t20,AA Gajic,13,252,317,17,0,42.0,7.5476190476190474
t20,AA Hussein,2,40,55,2,0,6.666666666666667,8.25
t20,AA Moiane,1,8,10,0,0,1.3333333333333333,7.5
t20,AA Navicha,2,41,40,2,0,6.833333333333333,5.853658536585366
t20,AA Noffke,2,46,41,5,0,7.666666666666667,5.3478260869565215
t20,AA Paradkar,3,55,72,4,0,9.166666666666666,7.854545454545455
t20,AA Patil,37,789,762,41,0,131.5,5.79467680608365
t20,AA Rahayu,9,141,116,9,0,23.5,4.9361702127659575
t20,AAH Bhikari,3,30,52,3,0,5.0,10.4
t20,AAP Atkinson,4,67,123,7,0,11.166666666666666,11.014925373134329
t20,AAP Rivero,14,304,254,19,0,50.666666666666664,5.0131578947368425
t20,AAhan Achar,9,156,155,8,0,26.0,5.961538461538462
t20,AB Agarkar,3,63,85,3,0,10.5,8.095238095238095
t20,AB Dinda,9,186,249,17,0,31.0,8.03225806451613
t20,AB Kamara,4,46,44,2,0,7.666666666666667,5.739130434782608
t20,AB Kaur,8,101,118,4,0,16.833333333333332,7.009900990099011
t20,AB Martinez,3,60,46,0,0,10.0,4.6
t20,AB Mengoumou,2,33,70,1,0,5.5,12.727272727272727
t20,AB Slebsager,5,103,71,4,0,17.166666666666668,4.135922330097087
t20,ABY Smith,5,115,115,2,0,19.166666666666668,6.0
t20,AC Agar,48,1030,1131,54,0,171.66666666666666,6.588349514563107
t20,AC Botha,5,99,90,9,0,16.5,5.454545454545454
t20,AC Brodin,2,41,31,2,0,6.833333333333333,4.536585365853659
t20,AC Douglas,11,184,184,14,0,30.666666666666668,6.0
t20,AC Evans,29,676,880,43,0,112.66666666666667,7.810650887573964
t20,AC Jayangani,72,1213,1311,67,0,202.16666666666666,6.484748557295961
t20,AC Kerr,85,1917,1947,103,0,319.5,6.093896713615023
t20,AC Mushangwe,12,266,138,23,0,44.333333333333336,3.1127819548872178
t20,AC Septien,3,73,40,4,0,12.166666666666666,3.2876712328767126
t20,AC Voges,1,12,5,2,0,2.0,2.5
t20,ACF Stokes,11,246,234,15,0,41.0,5.7073170731707314
t20,AD Diwan Ali,2,27,29,0,0,4.5,6.444444444444445
t20,AD Mascarenhas,14,254,319,14,0,42.333333333333336,7.535433070866142
t20,AD Mathews,68,1137,1355,45,0,189.5,7.150395778364116
t20,AD Russell,70,1201,1816,61,0,200.16666666666666,9.072439633638634
t20,ADL Stokoe,4,74,67,3,0,12.333333333333334,5.4324324324324325
t20,AE Isesele,4,30,37,3,0,5.0,7.4
t20,AE Moe,1,7,7,0,0,1.1666666666666667,6.0
t20,AE Paraam,9,188,276,8,0,31.333333333333332,8.808510638297873
