match_type,batsman,batting_team,runs,balls,dismissals,strike_rate,team2
odi,A Aitken-Drummond,Scotland,78,114,7,68.42105263157895,Hong Kong
odi,A Ashok,New Zealand,10,12,1,83.33333333333334,Bangladesh
odi,A Athanaze,West Indies,306,378,13,80.95238095238095,England
odi,A Bagai,Canada,614,995,22,61.70854271356784,United States of America
odi,A Balbirnie,Ireland,2628,3557,79,73.8824852403711,Bangladesh
odi,A Beggs,Ireland,0,2,1,0.0,Bangladesh
odi,A Bohara,Nepal,13,14,0,92.85714285714286,Oman
odi,A Bosch,South Africa,355,481,14,73.8045738045738,Sri Lanka
odi,A Brindle,England,608,893,18,68.08510638297872,Bangladesh
odi,A Canning,Ireland,92,169,15,54.437869822485204,Bangladesh
odi,A Capsey,England,307,415,16,73.97590361445782,Bangladesh
odi,A Codrington,Canada,33,79,6,41.77215189873418,United States of America
odi,A Dalzell,Ireland,35,71,3,49.29577464788733,Bangladesh
odi,A Dananjaya,Sri Lanka,321,446,21,71.97309417040358,Australia
odi,A Das,India,1,11,1,9.090909090909092,Pakistan
odi,A Dercksen,South Africa,346,359,7,96.37883008356546,Sri Lanka
odi,A Dutt,Netherlands,194,334,26,58.08383233532935,Zimbabwe
odi,A Flintoff,England,2033,2288,58,88.8548951048951,Bangladesh
odi,A Flintoff,ICC World XI,63,78,2,80.76923076923077,
odi,A Flower,Zimbabwe,332,472,9,70.33898305084746,India
odi,A Gardner,Australia,1175,1168,39,100.59931506849315,Pakistan
odi,A Hartley,England,4,28,1,14.285714285714285,Bangladesh
odi,A Hlubi,South Africa,10,19,2,52.63157894736842,Sri Lanka
odi,A Hunter,Ireland,977,1164,33,83.93470790378007,Bangladesh
odi,A Johnson,Canada,438,460,20,95.21739130434783,United States of America
odi,A Khaka,South Africa,110,236,20,46.61016949152542,Sri Lanka
odi,A King,Australia,195,214,11,91.1214953271028,Pakistan
odi,A Kolan,United States of America,155,297,8,52.18855218855219,Papua New Guinea
odi,A Kumble,Asia XI,24,49,1,48.97959183673469,
odi,A Kumble,India,84,212,11,39.62264150943396,Pakistan
odi,A Lister,Scotland,213,253,7,84.18972332015811,Hong Kong
odi,A Maregwede,Zimbabwe,108,182,8,59.34065934065934,India
odi,A Martin,West Indies,10,29,1,34.48275862068966,England
odi,A Mazvishaya,Zimbabwe,54,121,3,44.62809917355372,India
odi,A McGrath,England,155,342,9,45.32163742690059,Bangladesh
odi,A Minny,South Africa,106,130,1,81.53846153846153,Sri Lanka
odi,A Mishra,India,43,87,7,49.42528735632184,Pakistan
odi,A Mithun,India,51,57,3,89.47368421052632,Pakistan
odi,A Mohammed,West Indies,232,568,24,40.845070422535215,England
odi,A Munisar,West Indies,4,24,2,16.666666666666664,England
odi,A Nao,Papua New Guinea,54,71,7,76.05633802816901,Ireland
odi,A Ndiraya,Zimbabwe,428,624,15,68.58974358974359,India
odi,A Nehra,Asia XI,1,2,1,50.0,
