match_type,batsman,batting_team,runs,balls,dismissals,strike_rate,team2
t20,A Adekunle,Nigeria,7,24,3,29.166666666666668,Oman
t20,A Ahmadhel,Bulgaria,8,27,5,29.629629629629626,Romania
t20,A Aikenhead,Jersey,218,275,13,79.27272727272727,Norway
t20,A Aitken,Scotland,7,18,0,38.88888888888889,Ireland
t20,A Aitken-Drummond,Scotland,162,207,14,78.26086956521739,Ireland
t20,A Akhigbe,Nigeria,72,95,4,75.78947368421053,Oman
t20,A Akurut,Uganda,4,21,4,19.047619047619047,Scotland
t20,A Alexander,Indonesia,5,9,2,55.55555555555556,Japan
t20,A Alfonso,Malawi,13,39,2,33.33333333333333,Namibia
t20,A Amado,Israel,19,28,3,67.85714285714286,Spain
t20,A Andrews,Switzerland,4,6,1,66.66666666666666,Malta
t20,A Andriani,Indonesia,38,35,3,108.57142857142857,Japan
t20,A Argyropoulou,Greece,144,256,15,56.25,Romania
t20,A Ashokan,Czech Republic,572,525,19,108.95238095238096,Luxembourg
t20,A Athanaze,West Indies,75,64,3,117.1875,England
t20,A Bagai,Canada,165,157,4,105.09554140127389,Cayman Islands
t20,A Balbirnie,Ireland,2028,1682,88,120.57074910820451,Hong Kong
t20,A Bester,France,61,91,8,67.03296703296702,Germany
t20,A Bhadauria,Luxembourg,40,32,2,125.0,Czech Republic
t20,A Bhagwat,Hong Kong,2,9,3,22.22222222222222,Scotland
t20,A Bhargava,Singapore,7,7,1,100.0,Qatar
t20,A Bhattarai,Nepal,2,3,1,66.66666666666666,United Arab Emirates
t20,A Bierwisch,Germany,153,310,14,49.354838709677416,Italy
t20,A Bishnoi,Malta,11,23,4,47.82608695652174,Belgium
t20,A Bohara,Nepal,23,34,7,67.64705882352942,United Arab Emirates
t20,A Bosch,South Africa,910,845,35,107.6923076923077,Bangladesh
t20,A Bose,Kuwait,11,40,4,27.500000000000004,Malaysia
t20,A Brindle,England,256,266,12,96.2406015037594,South Africa
t20,A Brown-Carrera,Spain,36,71,6,50.70422535211267,Portugal
t20,A Bulow,Denmark,11,13,1,84.61538461538461,Norway
t20,A Bushell,Guernsey,5,8,1,62.5,Germany
t20,A Busing-Volschenk,Namibia,0,1,1,0.0,Lesotho
t20,A Canning,Ireland,48,56,8,85.71428571428571,Hong Kong
t20,A Capsey,England,711,617,32,115.23500810372771,South Africa
t20,A Cespedes,Costa Rica,1,16,2,6.25,Mexico
t20,A Chandel,Japan,230,432,16,53.24074074074075,Papua New Guinea
t20,A Charles,Croatia,1,5,1,20.0,Sweden
t20,A Chaubey,Croatia,14,21,4,66.66666666666666,Sweden
t20,A Chaudhary,Singapore,42,45,4,93.33333333333333,Qatar
t20,A Chilia,Vanuatu,116,201,10,57.711442786069654,Papua New Guinea
t20,A Conteh,Gambia,35,58,6,60.3448275862069,Eswatini
t20,A Cossa,Mozambique,25,44,5,56.81818181818182,Lesotho
t20,A Dananjaya,Sri Lanka,61,76,8,80.26315789473685,Australia
t20,A Das,India,7,14,3,50.0,England
t20,A Dastgir,Norway,0,2,1,0.0,Germany
t20,A Davidson Soler,Spain,90,89,5,101.12359550561798,Portugal
t20,A Davidson-Soler,Spain,126,155,6,81.29032258064515,Portugal
t20,A Daxini,Croatia,11,24,3,45.83333333333333,Sweden
t20,A Dcosta,Oman,33,52,8,63.46153846153846,Scotland
t20,A Dercksen,South Africa,190,167,13,113.77245508982037,Bangladesh
t20,A Dhingra,Luxembourg,8,8,2,100.0,Czech Republic
t20,A Dineshi,Romania,2,18,3,11.11111111111111,Bulgaria
t20,A Dirannehelage,Cyprus,158,255,4,61.96078431372549,Isle of Man
t20,A Dizija,Serbia,457,430,20,106.27906976744185,Greece
t20,A Djorovic,Serbia,27,48,2,56.25,Greece
t20,A Doddaballapur,Germany,318,486,17,65.4320987654321,Italy
t20,A Donovan,Philippines,2,11,1,18.181818181818183,Vanuatu
t20,A Dowling,Bulgaria,2,4,1,50.0,Romania
t20,A Dutt,Netherlands,35,40,5,87.5,Oman
t20,A Emch,Argentina,0,2,0,0.0,Brazil
t20,A Faletar,Croatia,0,2,1,0.0,Sweden
t20,A Ferguson,Argentina,402,449,12,89.53229398663697,Brazil
t20,A Flintoff,England,76,62,5,122.58064516129032,South Africa
t20,A Fujikawa,Japan,13,35,3,37.142857142857146,Papua New Guinea
