match_id,date,venue,city,match_type,team1,team2,toss_winner,toss_decision,winner,total_runs,total_wickets,total_balls,total_overs
1000887,2017-01-13,"Brisbane Cricket Ground, Woolloongabba",Brisbane,ODI,Australia,Pakistan,Australia,bat,Australia,444,19,571,95.17
1000889,2017-01-15,Melbourne Cricket Ground,,ODI,Australia,Pakistan,Australia,bat,Pakistan,441,14,590,98.33
1000891,2017-01-19,Western Australia Cricket Association Ground,Perth,ODI,Australia,Pakistan,Australia,field,Australia,528,10,584,97.33
1000893,2017-01-22,Sydney Cricket Ground,,ODI,Australia,Pakistan,Australia,bat,Australia,620,16,569,94.83
1000895,2017-01-26,Adelaide Oval,,ODI,Australia,Pakistan,Australia,bat,Australia,681,17,613,102.17
1001371,2016-12-04,Sydney Cricket Ground,,ODI,Australia,New Zealand,Australia,bat,Australia,580,18,584,97.33
1001373,2016-12-06,Manuka Oval,Canberra,ODI,Australia,New Zealand,New Zealand,field,Australia,640,15,600,100.0
1001375,2016-12-09,Melbourne Cricket Ground,,ODI,Australia,New Zealand,Australia,bat,Australia,411,18,534,89.0
1004283,2016-09-08,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,ODI,Scotland,Hong Kong,Hong Kong,field,,289,10,237,39.5
1004285,2016-09-10,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,ODI,Scotland,Hong Kong,Scotland,bat,Scotland,479,17,590,98.33
1007649,2016-06-11,Harare Sports Club,,ODI,Zimbabwe,India,India,field,India,341,11,570,95.0
1007651,2016-06-13,Harare Sports Club,,ODI,Zimbabwe,India,India,field,India,255,11,380,63.33
1007653,2016-06-15,Harare Sports Club,,ODI,Zimbabwe,India,Zimbabwe,bat,India,249,10,396,66.0
1019973,2016-12-26,Hagley Oval,Christchurch,ODI,New Zealand,Bangladesh,New Zealand,bat,New Zealand,605,17,590,98.33
1019975,2016-12-29,Saxton Oval,Nelson,ODI,New Zealand,Bangladesh,Bangladesh,field,New Zealand,435,20,571,95.17
1019977,2016-12-31,Saxton Oval,Nelson,ODI,New Zealand,Bangladesh,Bangladesh,bat,New Zealand,475,12,563,93.83
1020013,2017-01-30,Eden Park,Auckland,ODI,New Zealand,Australia,Australia,field,New Zealand,566,19,598,99.67
1020017,2017-02-05,Seddon Park,Hamilton,ODI,New Zealand,Australia,New Zealand,bat,New Zealand,538,19,597,99.5
1020031,2017-02-19,Seddon Park,Hamilton,ODI,New Zealand,South Africa,South Africa,field,South Africa,417,13,415,69.17
1020033,2017-02-22,Hagley Oval,Christchurch,ODI,New Zealand,South Africa,South Africa,field,New Zealand,572,13,614,102.33
1020035,2017-02-25,Westpac Stadium,Wellington,ODI,New Zealand,South Africa,South Africa,bat,South Africa,383,18,505,84.17
1020037,2017-03-01,Seddon Park,Hamilton,ODI,New Zealand,South Africa,South Africa,bat,New Zealand,559,11,581,96.83
1020039,2017-03-04,Eden Park,Auckland,ODI,New Zealand,South Africa,South Africa,field,South Africa,299,14,454,75.67
1022347,2017-06-01,Kennington Oval,London,ODI,England,Bangladesh,England,field,England,613,8,593,98.83
1022349,2017-06-02,Edgbaston,Birmingham,ODI,Australia,New Zealand,New Zealand,bat,,344,13,327,54.5
1022351,2017-06-03,Kennington Oval,London,ODI,South Africa,Sri Lanka,Sri Lanka,field,South Africa,502,16,568,94.67
1022353,2017-06-04,Edgbaston,Birmingham,ODI,India,Pakistan,Pakistan,field,India,483,12,500,83.33
1022355,2017-06-05,Kennington Oval,London,ODI,Australia,Bangladesh,Bangladesh,bat,,265,11,367,61.17
1022357,2017-06-06,Sophia Gardens,Cardiff,ODI,England,New Zealand,New Zealand,field,England,533,20,578,96.33
1022359,2017-06-07,Edgbaston,Birmingham,ODI,Pakistan,South Africa,South Africa,bat,Pakistan,338,11,471,78.5
1022361,2017-06-08,Kennington Oval,London,ODI,India,Sri Lanka,Sri Lanka,field,Sri Lanka,643,10,604,100.67
1022363,2017-06-09,Sophia Gardens,Cardiff,ODI,Bangladesh,New Zealand,New Zealand,bat,Bangladesh,533,13,604,100.67
1022365,2017-06-10,Edgbaston,Birmingham,ODI,England,Australia,England,field,England,517,13,552,92.0
1022367,2017-06-11,Kennington Oval,London,ODI,India,South Africa,India,field,India,384,12,507,84.5
1022369,2017-06-12,Sophia Gardens,Cardiff,ODI,Pakistan,Sri Lanka,Pakistan,field,Pakistan,473,17,587,97.83
1022371,2017-06-14,Sophia Gardens,Cardiff,ODI,England,Pakistan,Pakistan,field,Pakistan,426,12,535,89.17
1022373,2017-06-15,Edgbaston,Birmingham,ODI,Bangladesh,India,India,field,India,529,8,551,91.83
1022375,2017-06-18,Kennington Oval,London,ODI,India,Pakistan,India,field,Pakistan,496,14,500,83.33
1026847,2016-11-04,"Mission Road Ground, Mong Kok",Hong Kong,ODI,Hong Kong,Papua New Guinea,Hong Kong,bat,Hong Kong,432,20,543,90.5
1026849,2016-11-06,"Mission Road Ground, Mong Kok",Hong Kong,ODI,Hong Kong,Papua New Guinea,Papua New Guinea,bat,Papua New Guinea,388,20,583,97.17
1026851,2016-11-08,"Mission Road Ground, Mong Kok",Hong Kong,ODI,Hong Kong,Papua New Guinea,Papua New Guinea,bat,Hong Kong,425,10,516,86.0
1027315,2017-03-03,"Sir Vivian Richards Stadium, North Sound",Antigua,ODI,West Indies,England,West Indies,field,England,547,16,603,100.5
