match_type,batsman,matches,innings,runs,balls_faced,fours,sixes,dismissals,strike_rate
odi,A Aitken-Drummond,8,2,78,114,13,0,7,68.42105263157895
odi,A Ashok,1,1,10,12,2,0,1,83.33333333333334
odi,A Athanaze,13,2,306,378,37,6,13,80.95238095238095
odi,A Bagai,24,2,614,995,63,1,22,61.70854271356784
odi,A Balbirnie,83,2,2628,3557,254,34,79,73.8824852403711
odi,A Beggs,1,1,0,2,0,0,1,0.0
odi,A Bohara,2,2,13,14,0,0,0,92.85714285714286
odi,A Bosch,17,2,355,481,46,3,14,73.8045738045738
odi,A Brindle,20,2,608,893,60,0,18,68.08510638297872
odi,A Canning,16,2,92,169,7,1,15,54.437869822485204
odi,A Capsey,18,2,307,415,35,1,16,73.97590361445782
odi,A Codrington,6,2,33,79,3,0,6,41.77215189873418
odi,A Dalzell,5,2,35,71,2,0,3,49.29577464788733
odi,A Dananjaya,29,2,321,446,29,3,21,71.97309417040358
odi,A Das,1,1,1,11,0,0,1,9.090909090909092
odi,A Dercksen,8,2,346,359,31,9,7,96.37883008356546
odi,A Dutt,34,2,194,334,9,8,26,58.08383233532935
odi,A Flintoff,72,2,2096,2366,205,54,60,88.58833474218089
odi,A Flower,7,2,332,472,30,1,9,70.33898305084746
odi,A Gardner,52,2,1175,1168,118,33,39,100.59931506849315
odi,A Hartley,5,2,4,28,0,0,1,14.285714285714285
odi,A Hlubi,2,2,10,19,2,0,2,52.63157894736842
odi,A Hunter,35,2,977,1164,108,2,33,83.93470790378007
odi,A Johnson,19,2,438,460,53,23,20,95.21739130434783
odi,A Khaka,38,2,110,236,9,0,20,46.61016949152542
odi,A King,15,2,195,214,9,13,11,91.1214953271028
odi,A Kolan,7,2,155,297,16,0,8,52.18855218855219
odi,A Kumble,16,2,108,261,10,0,12,41.37931034482759
odi,A Lister,9,2,213,253,27,1,7,84.18972332015811
odi,A Maregwede,8,2,108,182,10,1,8,59.34065934065934
odi,A Martin,5,1,10,29,0,0,1,34.48275862068966
odi,A Mazvishaya,7,2,54,121,5,0,3,44.62809917355372
odi,A McGrath,11,2,155,342,10,0,9,45.32163742690059
odi,A Minny,3,2,106,130,11,1,1,81.53846153846153
odi,A Mishra,10,2,43,87,4,0,7,49.42528735632184
odi,A Mithun,3,1,51,57,2,4,3,89.47368421052632
odi,A Mohammed,36,2,232,568,23,0,24,40.845070422535215
odi,A Munisar,2,2,4,24,1,0,2,16.666666666666664
odi,A Nao,15,2,54,71,4,1,7,76.05633802816901
odi,A Ndiraya,16,2,428,624,40,0,15,68.58974358974359
odi,A Nehra,31,2,90,174,9,2,20,51.724137931034484
odi,A Neill,6,2,29,43,2,0,2,67.44186046511628
odi,A Nel,19,2,123,159,14,3,9,77.35849056603774
odi,A Nortje,7,2,40,60,3,0,6,66.66666666666666
odi,A Patel,1,1,25,30,3,0,1,83.33333333333334
odi,A Phillip,2,2,22,25,0,1,1,88.0
odi,A Rawat,2,2,153,188,20,2,1,81.38297872340425
odi,A Reddy,4,2,30,54,0,0,3,55.55555555555556
odi,A Saud,11,2,189,401,17,4,9,47.13216957605985
odi,A Shahzad,8,2,40,62,0,3,5,64.51612903225806
odi,A Shamshudeen,1,1,3,30,0,0,1,10.0
odi,A Sharafu,22,2,369,553,35,6,22,66.72694394213381
odi,A Sharma,25,2,477,679,58,6,23,70.25036818851251
odi,A Shrubsole,32,2,199,258,21,4,22,77.13178294573643
odi,A Steyn,31,2,781,1278,82,1,27,61.111111111111114
odi,A Sutherland,25,2,765,848,73,13,20,90.2122641509434
odi,A Suwanchonrathi,1,1,3,4,0,0,1,75.0
odi,A Symonds,105,2,3589,4047,304,73,86,88.68297504324191
odi,A Tector,5,2,39,63,2,0,5,61.904761904761905
odi,A Vala,56,2,1783,2594,147,26,57,68.7355435620663
odi,A Valthapa,1,1,14,22,1,0,1,63.63636363636363
odi,A Wellington,4,2,6,17,0,0,3,35.294117647058826
odi,A Zampa,53,2,362,563,31,2,35,64.29840142095915
odi,A Zimunu,2,1,28,34,1,0,2,82.35294117647058
odi,A le Breton,1,1,3,6,0,0,0,50.0
odi,A van der Merwe,1,1,4,4,0,0,0,100.0
odi,AA Alleyne,36,2,448,720,52,2,27,62.22222222222222
odi,AA Deshpande,1,1,32,69,4,1,1,46.3768115942029
odi,AA Jangoo,5,2,153,170,6,5,4,90.0
odi,AA Mulla,8,2,150,160,21,4,8,93.75
odi,AA Obanda,14,2,487,704,56,8,16,69.17613636363636
odi,AA Paradkar,5,2,51,85,3,1,4,60.0
odi,AA Shafique,1,1,13,33,2,0,1,39.39393939393939
odi,AAP Atkinson,8,2,104,81,16,2,6,128.39506172839506
odi,AB Agarkar,37,2,352,552,26,6,35,63.76811594202898
odi,AB Barath,14,2,394,629,43,3,14,62.63910969793323
odi,AB Dinda,5,2,21,38,1,0,5,55.26315789473685
odi,AB Kaur,8,2,78,128,4,0,8,60.9375
odi,AB de Villiers,213,2,9435,9488,825,200,171,99.44139966273187
odi,AC Agar,18,2,322,400,28,4,13,80.5
odi,AC Botha,17,2,265,419,28,2,13,63.24582338902148
odi,AC Cummins,3,2,21,23,2,0,1,91.30434782608695
odi,AC Dawson,1,1,23,32,4,0,0,71.875
odi,AC Evans,11,2,66,92,6,1,5,71.73913043478261
odi,AC Gilchrist,118,2,4355,4260,556,75,110,102.2300469483568
odi,AC Jayangani,77,2,2924,3792,365,53,81,77.1097046413502
odi,AC Kerr,63,3,1854,2473,172,3,50,74.96967246259604
odi,AC Voges,27,2,798,956,57,7,18,83.47280334728033
odi,AD Hales,65,2,2330,2483,270,45,61,93.83809907370116
odi,AD Janakanthymala,2,2,1,15,0,0,1,6.666666666666667
odi,AD Mascarenhas,13,2,245,262,12,13,10,93.51145038167938
odi,AD Mathews,184,2,5646,6934,454,85,155,81.4248629939429
odi,AD Poynter,6,2,65,134,3,2,6,48.507462686567166
odi,AD Russell,47,2,1034,805,94,57,39,128.4472049689441
odi,ADJ Pitcher,1,1,8,12,0,1,1,66.66666666666666
odi,ADR Campbell,1,1,7,25,0,0,1,28.000000000000004
odi,ADS Fletcher,23,2,305,503,36,6,23,60.63618290258449
odi,AE Jones,73,2,2193,2604,242,19,63,84.21658986175116
odi,AE Satterthwaite,66,2,2895,3618,308,10,58,80.01658374792703
odi,AE Smith,1,1,45,30,3,1,1,150.0
odi,AF Buurman,2,1,26,34,4,0,2,76.47058823529412
odi,AF Giles,18,2,286,390,21,4,14,73.33333333333333
odi,AF Milne,22,2,180,211,11,4,15,85.30805687203792
odi,AF Sattaur,3,1,20,63,0,1,3,31.746031746031743
odi,AG Cremer,49,2,507,897,33,1,40,56.52173913043478
odi,AG Prince,33,2,761,1126,50,4,22,67.58436944937833
odi,AG Puttick,1,1,0,5,0,0,1,0.0
odi,AG Wharf,5,2,19,29,0,1,2,65.51724137931035
odi,AGC Vimukthi,2,1,7,28,0,0,1,25.0
odi,AGS Gous,11,3,403,450,41,12,10,89.55555555555556
odi,AH Maqsood,8,2,20,50,0,0,6,40.0
odi,AH Thomson,2,1,16,37,1,0,2,43.24324324324324
odi,AI Chudasama,7,2,121,173,8,0,6,69.94219653179191
odi,AJ Bichel,14,2,258,291,17,8,9,88.65979381443299
odi,AJ Blackwell,33,2,953,1258,96,4,25,75.75516693163752
odi,AJ Burger,6,1,199,204,25,3,6,97.54901960784314
odi,AJ Finch,139,2,5188,6135,513,118,134,84.56397718011411
odi,AJ Hall,28,2,387,464,30,6,20,83.40517241379311
odi,AJ Healy,84,2,2759,2897,381,29,78,95.23645150155333
odi,AJ Hosein,28,2,266,375,14,10,17,70.93333333333334
odi,AJ Ireland,7,2,12,64,1,0,6,18.75
odi,AJ Kenealy,6,2,39,95,5,1,6,41.05263157894737
odi,AJ McKay,9,2,12,47,0,0,4,25.53191489361702
odi,AJ Redmond,6,2,152,266,19,0,6,57.14285714285714
odi,AJ Stewart,10,2,287,409,22,1,10,70.17114914425427
odi,AJ Strauss,112,2,3729,4732,400,25,107,78.80388841927304
odi,AJ Turner,7,2,192,165,10,10,6,116.36363636363636
odi,AJ Tye,7,2,57,48,5,2,4,118.75
odi,AK Maguire,7,2,22,35,2,0,4,62.857142857142854
odi,AK Markram,67,2,2202,2304,224,50,60,95.57291666666666
odi,AK Perera,4,2,52,83,3,0,4,62.65060240963856
odi,AK Peters,4,2,6,29,0,0,3,20.689655172413794
odi,AK Sah,13,2,320,365,34,12,11,87.67123287671232
odi,AL Hodgkinson,3,2,121,169,9,0,3,71.59763313609467
odi,AL Kandappah,2,1,97,159,4,3,1,61.0062893081761
odi,AL Phehlukwayo,52,2,827,996,74,32,36,83.03212851405623
odi,AL Watkins,1,1,0,1,0,0,1,0.0
odi,AM Bacher,5,2,102,181,12,0,5,56.353591160220994
odi,AM Blignaut,20,2,284,264,33,5,17,107.57575757575756
odi,AM Ellis,12,2,154,189,10,2,10,81.48148148148148
odi,AM Fernando,5,2,3,19,0,0,2,15.789473684210526
odi,AM Guruge,2,1,14,26,1,0,0,53.84615384615385
odi,AM Hardie,10,2,166,201,15,2,9,82.58706467661692
odi,AM McCarthy,2,1,15,41,1,0,2,36.58536585365854
odi,AM Nayar,1,1,0,7,0,0,0,0.0
odi,AM Peterson,12,2,167,211,14,3,9,79.14691943127961
odi,AM Phangiso,12,2,81,164,5,0,10,49.390243902439025
odi,AM Rahane,86,2,2906,3812,289,33,86,76.23294858342078
odi,AM Samad,10,2,226,382,23,1,8,59.16230366492147
odi,AM Tribe,4,2,233,310,16,6,3,75.16129032258064
odi,AN Cook,91,2,3204,4238,363,10,86,75.60169891458234
odi,AN Davidson-Richards,4,1,56,79,4,0,2,70.88607594936708
odi,AN Kelly,29,2,384,610,33,1,24,62.95081967213115
odi,AN Kervezee,9,2,110,204,13,0,10,53.92156862745098
