match_id,date,venue,city,match_type,team1,team2,toss_winner,toss_decision,winner,total_runs,total_wickets,total_balls,total_overs
1046679,2016-08-17,Skarpnack 1,Stockholm,IT20,Gibraltar,Israel,Israel,field,Israel,210,11,213,35.5
1046681,2016-08-17,Skarpnack 2,Stockholm,IT20,Germany,Isle of Man,Isle of Man,field,Germany,232,18,222,37.0
1046685,2016-08-17,Skarpnack 1,Stockholm,IT20,Gibraltar,Isle of Man,Isle of Man,field,Isle of Man,131,4,134,22.33
1046687,2016-08-17,Skarpnack 2,Stockholm,IT20,Israel,Spain,Spain,field,Spain,167,12,196,32.67
1049617,2016-08-26,Johor Cricket Academy Oval,,IT20,Malaysia,Singapore,Singapore,bat,Singapore,254,6,263,43.83
1049631,2016-08-27,Johor Cricket Academy Oval,,IT20,Malaysia,Singapore,Singapore,bat,Malaysia,259,6,253,42.17
1049633,2016-08-28,Johor Cricket Academy Oval,,IT20,Malaysia,Singapore,Malaysia,bat,Malaysia,258,13,270,45.0
1058152,2016-09-27,Gymkhana Club Ground,Nairobi,IT20,Kenya,Saudi Arabia,Kenya,field,Saudi Arabia,207,20,226,37.67
1058153,2016-09-27,Jaffery Sports Club Ground,Nairobi,IT20,Qatar,Uganda,Uganda,bat,Qatar,213,12,207,34.5
1058155,2016-09-28,Gymkhana Club Ground,Nairobi,IT20,Kenya,Uganda,Kenya,field,Kenya,262,10,220,36.67
1058157,2016-09-28,Jaffery Sports Club Ground,Nairobi,IT20,Qatar,Saudi Arabia,Qatar,field,Saudi Arabia,314,14,243,40.5
1059539,2016-09-29,Gymkhana Club Ground,Nairobi,IT20,Kenya,Qatar,Qatar,field,Qatar,317,15,243,40.5
1063553,2016-11-03,Sano International Cricket Ground,,IT20,Japan,China,China,bat,Japan,161,14,223,37.17
1074960,2017-01-15,Sheikh Zayed Stadium,Abu Dhabi,IT20,United Arab Emirates,Namibia,Namibia,bat,United Arab Emirates,305,11,248,41.33
1074963,2017-01-17,Sheikh Zayed Stadium,Abu Dhabi,IT20,Ireland,Namibia,Namibia,bat,Ireland,295,14,244,40.67
1090885,2017-04-28,Sano International Cricket Ground,,IT20,Japan,Samoa,Samoa,field,Samoa,141,8,215,35.83
1090886,2017-04-28,Sano International Cricket Ground,,IT20,Vanuatu,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,161,11,201,33.5
1090888,2017-04-29,Sano International Cricket Ground,,IT20,Japan,Vanuatu,Vanuatu,field,Vanuatu,126,16,212,35.33
1090889,2017-05-01,Sano International Cricket Ground,,IT20,Samoa,Vanuatu,Vanuatu,field,Samoa,175,16,247,41.17
1090890,2017-04-30,Sano International Cricket Ground,,IT20,Papua New Guinea,Japan,Japan,field,Papua New Guinea,198,10,259,43.17
1090891,2017-05-02,Sano International Cricket Ground,,IT20,Japan,Samoa,Samoa,field,Samoa,100,9,193,32.17
1090892,2017-05-02,Sano International Cricket Ground,,IT20,Vanuatu,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,163,13,218,36.33
1090894,2017-05-03,Sano International Cricket Ground,,IT20,Vanuatu,Samoa,Samoa,field,Samoa,93,16,221,36.83
1090895,2017-05-04,Sano International Cricket Ground,,IT20,Samoa,Papua New Guinea,Papua New Guinea,field,Papua New Guinea,161,13,244,40.67
1090896,2017-05-04,Sano International Cricket Ground,,IT20,Vanuatu,Japan,Japan,field,Japan,167,12,260,43.33
