match_id,date,venue,city,match_type,team1,team2,toss_winner,toss_decision,winner,total_runs,total_wickets,total_balls,total_overs
1000851,2016-11-03,Western Australia Cricket Association Ground,Perth,Test,Australia,South Africa,South Africa,bat,South Africa,1387,38,2499,416.5
1000853,2016-11-12,Bellerive Oval,Hobart,Test,Australia,South Africa,South Africa,field,South Africa,572,30,1165,194.17
1000855,2016-11-24,Adelaide Oval,,Test,Australia,South Africa,South Africa,bat,Australia,1019,32,1952,325.33
1000881,2016-12-15,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Test,Australia,Pakistan,Australia,bat,Australia,1223,35,2227,371.17
1000883,2016-12-26,Melbourne Cricket Ground,,Test,Australia,Pakistan,Pakistan,bat,Australia,1230,27,1949,324.83
1000885,2017-01-03,Sydney Cricket Ground,,Test,Australia,Pakistan,Australia,bat,Australia,1338,30,2156,359.33
1019985,2017-01-12,Basin Reserve,Wellington,Test,New Zealand,Bangladesh,New Zealand,field,New Zealand,1511,31,2394,399.0
1019987,2017-01-20,Hagley Oval,Christchurch,Test,New Zealand,Bangladesh,New Zealand,field,New Zealand,927,31,1504,250.67
1019993,2016-11-17,Hagley Oval,Christchurch,Test,New Zealand,Pakistan,New Zealand,field,New Zealand,612,32,1363,227.17
1019995,2016-11-25,Seddon Park,Hamilton,Test,New Zealand,Pakistan,Pakistan,field,New Zealand,1030,35,1980,330.0
1020041,2017-03-08,University Oval,Dunedin,Test,New Zealand,South Africa,South Africa,bat,,873,26,2041,340.17
1020043,2017-03-16,Basin Reserve,Wellington,Test,New Zealand,South Africa,South Africa,field,South Africa,881,32,1600,266.67
1020045,2017-03-25,Seddon Park,Hamilton,Test,New Zealand,South Africa,South Africa,bat,,883,25,1750,291.67
1022593,2016-07-21,"Sir Vivian Richards Stadium, North Sound",Antigua,Test,West Indies,India,India,bat,India,1040,28,1997,332.83
1022595,2016-07-30,"Sabina Park, Kingston",Jamaica,Test,West Indies,India,West Indies,bat,,1084,25,1993,332.17
1022597,2016-08-09,"Darren Sammy National Cricket Stadium, Gros Islet",St Lucia,Test,West Indies,India,West Indies,field,India,903,37,1994,332.33
1022599,2016-08-18,"Queen's Park Oval, Port of Spain",Trinidad,Test,West Indies,India,West Indies,bat,,62,2,133,22.17
1024041,2016-07-28,Queens Sports Club,Bulawayo,Test,Zimbabwe,New Zealand,Zimbabwe,bat,New Zealand,1035,26,1958,326.33
1024043,2016-08-06,Queens Sports Club,Bulawayo,Test,Zimbabwe,New Zealand,New Zealand,bat,New Zealand,1242,26,2403,400.5
1029825,2016-10-20,Zahur Ahmed Chowdhury Stadium,Chittagong,Test,Bangladesh,England,England,bat,England,1044,40,2126,354.33
1029827,2016-10-28,Shere Bangla National Stadium,Mirpur,Test,Bangladesh,England,Bangladesh,bat,Bangladesh,924,40,1549,258.17
1030213,2016-09-22,Green Park,Kanpur,Test,India,New Zealand,India,bat,India,1193,35,2329,388.17
1030215,2016-09-30,Eden Gardens,Kolkata,Test,India,New Zealand,India,bat,India,980,40,1900,316.67
1030217,2016-10-08,Holkar Cricket Stadium,Indore,Test,India,New Zealand,India,bat,India,1220,28,2125,354.17
1031437,2017-07-06,Lord's,London,Test,England,South Africa,England,bat,England,1171,40,2019,336.5
1031439,2017-07-14,Trent Bridge,Nottingham,Test,South Africa,England,South Africa,bat,South Africa,1016,39,1780,296.67
1031441,2017-07-27,Kennington Oval,London,Test,England,South Africa,England,bat,England,1093,38,1925,320.83
1031443,2017-08-04,Old Trafford,Manchester,Test,England,South Africa,England,bat,England,1033,40,1883,313.83
1031659,2017-08-17,Edgbaston,Birmingham,Test,England,West Indies,England,bat,England,819,28,1383,230.5
1031661,2017-08-25,Headingley,Leeds,Test,England,West Indies,England,bat,West Indies,1497,33,2611,435.17
1031663,2017-09-07,Lord's,London,Test,West Indies,England,West Indies,bat,England,601,31,1231,205.17
1034809,2016-11-09,Saurashtra Cricket Association Stadium,Rajkot,Test,India,England,England,bat,,1457,29,2700,450.0
1034811,2016-11-17,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,Test,India,England,India,bat,India,1072,40,2360,393.33
1034813,2016-11-26,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Test,India,England,England,bat,India,1040,32,2063,343.83
1034815,2016-12-08,Wankhede Stadium,Mumbai,Test,India,England,England,bat,India,1226,30,2215,369.17
1034817,2016-12-16,"MA Chidambaram Stadium, Chepauk",Chennai,Test,India,England,England,bat,India,1443,27,2619,436.5
1041761,2017-02-09,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Test,India,Bangladesh,India,bat,India,1484,30,2547,424.5
1050229,2016-10-13,Dubai International Cricket Stadium,,Test,Pakistan,West Indies,Pakistan,bat,Pakistan,1348,33,2551,425.17
1050231,2016-10-21,Sheikh Zayed Stadium,Abu Dhabi,Test,Pakistan,West Indies,Pakistan,bat,Pakistan,1225,32,2347,391.17
1050233,2016-10-30,Sharjah Cricket Stadium,,Test,Pakistan,West Indies,Pakistan,bat,West Indies,980,35,2009,334.83
1059702,2016-10-29,Harare Sports Club,,Test,Zimbabwe,Sri Lanka,Sri Lanka,bat,Sri Lanka,1343,36,2496,416.0
1059703,2016-11-06,Harare Sports Club,,Test,Zimbabwe,Sri Lanka,Zimbabwe,field,Sri Lanka,1267,39,2204,367.33
1062573,2017-02-23,Maharashtra Cricket Association Stadium,Pune,Test,India,Australia,Australia,bat,Australia,757,40,1542,257.0
1062574,2017-03-04,M Chinnaswamy Stadium,Bengaluru,Test,India,Australia,India,bat,India,851,40,1968,328.0
1062575,2017-03-16,JSCA International Stadium Complex,Ranchi,Test,India,Australia,Australia,bat,,1258,25,2690,448.33
1062576,2017-03-25,Himachal Pradesh Cricket Association Stadium,Dharamsala,Test,India,Australia,Australia,bat,India,875,32,1707,284.5
1072305,2017-11-23,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Test,England,Australia,England,bat,Australia,998,30,2222,370.33
1072306,2017-12-02,Adelaide Oval,,Test,Australia,England,England,field,Australia,1040,38,2209,368.17
1072307,2017-12-14,W.A.C.A. Ground,Perth,Test,England,Australia,England,bat,Australia,1283,29,2210,368.33
1072308,2017-12-26,Melbourne Cricket Ground,,Test,Australia,England,Australia,bat,,1081,24,2329,388.17
1072309,2018-01-04,Sydney Cricket Ground,,Test,England,Australia,England,bat,Australia,1175,27,2367,394.5
1075502,2017-09-28,Senwes Park,Potchefstroom,Test,South Africa,Bangladesh,Bangladesh,field,South Africa,1153,29,1949,324.83
1075503,2017-10-06,Mangaung Oval,Bloemfontein,Test,South Africa,Bangladesh,Bangladesh,field,South Africa,892,24,1239,206.5
1075982,2018-03-01,Kingsmead,Durban,Test,Australia,South Africa,Australia,bat,Australia,1038,40,1979,329.83
1075983,2018-03-09,St George's Park,Port Elizabeth,Test,Australia,South Africa,Australia,bat,South Africa,966,34,1755,292.5
1075984,2018-03-22,Newlands,Cape Town,Test,South Africa,Australia,South Africa,bat,South Africa,1046,40,1930,321.67
1075985,2018-03-30,The Wanderers Stadium,Johannesburg,Test,South Africa,Australia,South Africa,bat,South Africa,1172,36,2162,360.33
1077953,2017-04-21,"Sabina Park, Kingston",Jamaica,Test,West Indies,Pakistan,Pakistan,field,Pakistan,881,33,1796,299.33
1077954,2017-04-30,"Kensington Oval, Bridgetown",Barbados,Test,West Indies,Pakistan,West Indies,bat,West Indies,1054,40,2279,379.83
1077955,2017-05-10,"Windsor Park, Roseau",Dominica,Test,West Indies,Pakistan,West Indies,field,Pakistan,999,38,2518,419.67
1083444,2017-03-07,Galle International Stadium,,Test,Sri Lanka,Bangladesh,Sri Lanka,bat,Sri Lanka,1277,36,2155,359.17
1083445,2017-03-15,P Sara Oval,Colombo,Test,Sri Lanka,Bangladesh,Sri Lanka,bat,Bangladesh,1315,36,2521,420.17
1086066,2017-11-09,"North Sydney Oval, Sydney",Sydney,Test,England,Australia,England,bat,,934,21,2332,388.67
1104284,2017-08-27,"Shere Bangla National Stadium, Mirpur",Dhaka,Test,Bangladesh,Australia,Bangladesh,bat,Bangladesh,942,40,1829,304.83
1104285,2017-09-04,Zahur Ahmed Chowdhury Stadium,Chattogram,Test,Bangladesh,Australia,Bangladesh,bat,Australia,926,33,1921,320.17
1104483,2017-07-14,"R.Premadasa Stadium, Khettarama",Colombo,Test,Zimbabwe,Sri Lanka,Zimbabwe,bat,Sri Lanka,1470,36,2531,421.83
1109602,2017-07-26,Galle International Stadium,,Test,India,Sri Lanka,India,bat,India,1376,30,2065,344.17
1109603,2017-08-03,Sinhalese Sports Club Ground,Colombo,Test,India,Sri Lanka,India,bat,India,1191,29,1953,325.5
1109604,2017-08-12,Pallekele International Cricket Stadium,,Test,India,Sri Lanka,India,bat,India,803,30,1419,236.5
1115780,2018-03-22,Eden Park,Auckland,Test,England,New Zealand,New Zealand,field,New Zealand,805,28,1731,288.5
1115781,2018-03-30,Hagley Oval,Christchurch,Test,England,New Zealand,New Zealand,field,,1193,37,2538,423.0
1115793,2017-12-01,Basin Reserve,Wellington,Test,West Indies,New Zealand,New Zealand,field,New Zealand,973,29,1820,303.33
1115794,2017-12-09,Seddon Park,Hamilton,Test,New Zealand,West Indies,West Indies,field,New Zealand,1088,38,1897,316.17
1119535,2018-05-24,Lord's,London,Test,England,Pakistan,England,bat,Pakistan,855,31,1612,268.67
1119536,2018-06-01,Headingley,Leeds,Test,Pakistan,England,Pakistan,bat,England,671,30,1204,200.67
1119549,2018-08-01,Edgbaston,Birmingham,Test,England,India,England,bat,England,903,40,1644,274.0
1119550,2018-08-09,Lord's,London,Test,India,England,England,field,England,633,27,1026,171.0
1119551,2018-08-18,Trent Bridge,Nottingham,Test,India,England,England,field,India,1159,37,2097,349.5
1119552,2018-08-30,The Rose Bowl,Southampton,Test,England,India,England,bat,England,974,40,1974,329.0
1119553,2018-09-07,Kennington Oval,London,Test,England,India,England,bat,England,1392,38,2546,424.33
1120284,2017-09-28,Sheikh Zayed Stadium,Abu Dhabi,Test,Sri Lanka,Pakistan,Sri Lanka,bat,Sri Lanka,1093,40,2606,434.33
1120285,2017-10-06,Dubai International Cricket Stadium,,Test,Sri Lanka,Pakistan,Sri Lanka,bat,Sri Lanka,1088,40,2217,369.5
1122276,2018-01-05,Newlands,Cape Town,Test,South Africa,India,South Africa,bat,South Africa,760,40,1388,231.33
1122277,2018-01-13,SuperSport Park,Centurion,Test,South Africa,India,South Africa,bat,South Africa,1051,40,2093,348.83
1122278,2018-01-24,The Wanderers Stadium,Johannesburg,Test,India,South Africa,India,bat,India,805,40,1792,298.67
1122310,2017-12-26,"St George's Park, Port Elizabeth",Port Elizabeth,Test,South Africa,Zimbabwe,South Africa,bat,South Africa,498,29,912,152.0
1122723,2017-11-16,Eden Gardens,Kolkata,Test,India,Sri Lanka,Sri Lanka,field,,893,35,1556,259.33
1122724,2017-11-24,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Test,Sri Lanka,India,Sri Lanka,bat,India,981,26,1831,305.17
1122725,2017-12-02,Arun Jaitley Stadium,Delhi,Test,India,Sri Lanka,India,bat,,1454,28,2526,421.0
1122886,2017-10-21,Queens Sports Club,Bulawayo,Test,West Indies,Zimbabwe,West Indies,bat,West Indies,1067,40,2168,361.33
1122887,2017-10-29,Queens Sports Club,Bulawayo,Test,Zimbabwe,West Indies,Zimbabwe,bat,,1075,27,2594,432.33
1127284,2018-05-11,"The Village, Malahide",Dublin,Test,Ireland,Pakistan,Ireland,field,Pakistan,939,34,1925,320.83
1130744,2018-01-31,Zahur Ahmed Chowdhury Stadium,Chattogram,Test,Bangladesh,Sri Lanka,Bangladesh,bat,,1533,24,2592,432.0
1130745,2018-02-08,"Shere Bangla National Stadium, Mirpur",Dhaka,Test,Sri Lanka,Bangladesh,Sri Lanka,bat,Sri Lanka,681,40,1289,214.83
1135149,2018-06-06,"Queen's Park Oval, Port of Spain",Trinidad,Test,West Indies,Sri Lanka,West Indies,bat,West Indies,1048,35,2213,368.83
1135150,2018-06-14,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,Test,Sri Lanka,West Indies,Sri Lanka,bat,,1042,35,2014,335.67
1135151,2018-06-23,"Kensington Oval, Bridgetown",Barbados,Test,West Indies,Sri Lanka,West Indies,bat,Sri Lanka,595,36,1207,201.17
1140385,2018-11-06,Galle International Stadium,,Test,England,Sri Lanka,England,bat,England,1117,36,2061,343.5
1140386,2018-11-14,Pallekele International Cricket Stadium,,Test,England,Sri Lanka,England,bat,England,1210,40,2000,333.33
1140387,2018-11-23,Sinhalese Sports Club Ground,Colombo,Test,England,Sri Lanka,England,bat,England,1090,40,1904,317.33
1142581,2018-07-12,Galle International Stadium,,Test,Sri Lanka,South Africa,Sri Lanka,bat,Sri Lanka,676,40,1323,220.5
1142582,2018-07-20,Sinhalese Sports Club Ground,Colombo,Test,Sri Lanka,South Africa,Sri Lanka,bat,Sri Lanka,1027,35,1853,308.83
1144153,2018-12-26,SuperSport Park,Centurion,Test,South Africa,Pakistan,Pakistan,bat,South Africa,745,34,1290,215.0
1144154,2019-01-03,Newlands,Cape Town,Test,South Africa,Pakistan,South Africa,field,South Africa,945,32,1550,258.33
1144155,2019-01-11,The Wanderers Stadium,Johannesburg,Test,South Africa,Pakistan,South Africa,bat,South Africa,1023,40,1650,275.0
1144164,2019-02-13,Kingsmead,Durban,Test,South Africa,Sri Lanka,Sri Lanka,field,Sri Lanka,989,39,1711,285.17
1144165,2019-02-21,St George's Park,Port Elizabeth,Test,South Africa,Sri Lanka,South Africa,bat,Sri Lanka,701,31,1142,190.33
1144993,2018-12-06,Adelaide Oval,,Test,India,Australia,India,bat,India,1083,40,2488,414.67
1144994,2018-12-14,Perth Stadium,,Test,Australia,India,Australia,bat,Australia,992,40,2196,366.0
1144995,2018-12-26,Melbourne Cricket Ground,Melbourne,Test,Australia,India,India,bat,India,961,35,2188,364.67
1144996,2019-01-03,Sydney Cricket Ground,Sydney,Test,Australia,India,India,bat,,928,17,1659,276.5
1145000,2019-01-24,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Test,Australia,Sri Lanka,Sri Lanka,bat,Australia,606,29,1294,215.67
1145001,2019-02-01,Manuka Oval,Canberra,Test,Australia,Sri Lanka,Australia,bat,Australia,1094,28,1816,302.67
1146717,2018-07-04,Sir Vivian Richards Stadium,North Sound,Test,Bangladesh,West Indies,West Indies,field,West Indies,593,30,1187,197.83
1146718,2018-07-12,"Sabina Park, Kingston",Jamaica,Test,West Indies,Bangladesh,Bangladesh,field,West Indies,800,40,1484,247.33
1152839,2019-07-24,Lord's,London,Test,England,Ireland,England,bat,England,633,40,1062,177.0
1152846,2019-08-01,Edgbaston,Birmingham,Test,England,Australia,Australia,bat,Australia,1291,37,2302,383.67
1152847,2019-08-14,Lord's,London,Test,England,Australia,Australia,field,,920,31,1749,291.5
1152848,2019-08-22,Headingley,Leeds,Test,England,Australia,England,field,England,854,39,1705,284.17
1152849,2019-09-04,Old Trafford,Manchester,Test,England,Australia,Australia,bat,Australia,1181,34,2222,370.33
1152850,2019-09-12,Kennington Oval,London,Test,England,Australia,Australia,field,England,1111,40,1978,329.67
1153311,2018-11-22,Zahur Ahmed Chowdhury Stadium,Chattogram,Test,Bangladesh,West Indies,Bangladesh,bat,Bangladesh,834,40,1376,229.33
1153312,2018-11-30,"Shere Bangla National Stadium, Mirpur",Dhaka,Test,Bangladesh,West Indies,Bangladesh,bat,Bangladesh,832,30,1505,250.83
1153639,2018-11-03,Sylhet International Cricket Stadium,,Test,Zimbabwe,Bangladesh,Zimbabwe,bat,Zimbabwe,775,40,1784,297.33
1153640,2018-11-11,"Shere Bangla National Stadium, Mirpur",Dhaka,Test,Bangladesh,Zimbabwe,Bangladesh,bat,Bangladesh,1274,31,2422,403.67
1153838,2018-12-15,"Basin Reserve, Wellington",Wellington,Test,Sri Lanka,New Zealand,New Zealand,field,,1147,23,2187,364.5
1153839,2018-12-26,Hagley Oval,Christchurch,Test,New Zealand,Sri Lanka,Sri Lanka,field,New Zealand,1103,34,2110,351.67
